id,question,gold_chunk_id,retrieved_top1,hit,scores
RET_001,"Theo quy định, một giấy phép lái xe ban đầu có bao nhiêu điểm?",LAW36_ART058,DEC168_ART032_CHUNK001,True,"[0.45847755670547485, 0.4562399387359619, 0.44437915086746216, 0.44274812936782837, 0.4419313073158264]"
RET_002,Hệ thống điểm trên giấy phép lái xe nhằm theo dõi vấn đề gì của người lái?,LAW36_ART058,LAW36_ART058,True,"[0.5138567686080933, 0.47510695457458496, 0.4578515887260437, 0.4499399662017822, 0.4487757682800293]"
RET_003,"Sau khi quyết định xử phạt có hiệu lực, điểm trừ GPLX được cập nhật lúc nào?",LAW36_ART058,DEC168_ART050_CHUNK002,True,"[0.5286977291107178, 0.5232394933700562, 0.48070424795150757, 0.47470366954803467, 0.454004168510437]"
RET_004,Nếu 12 tháng sau lần trừ điểm gần nhất không vi phạm thêm thì GPLX được xử lý ra sao?,LAW36_ART058,LAW36_ART058,True,"[0.6076301336288452, 0.6050980091094971, 0.5808844566345215, 0.5753225088119507, 0.5490433573722839]"
RET_005,"Khi GPLX bị trừ hết điểm, người lái có còn được điều khiển xe theo giấy phép đó không?",LAW36_ART058,DEC168_ART050_CHUNK002,True,"[0.6980372071266174, 0.6675465703010559, 0.6657081842422485, 0.6238399744033813, 0.6124088764190674]"
RET_006,"Muốn được phục hồi điểm sau khi bị trừ hết, người lái cần đáp ứng điều kiện gì?",LAW36_ART058,DEC168_ART051_CHUNK002,True,"[0.60477614402771, 0.506955623626709, 0.4918406009674072, 0.49003496766090393, 0.48658549785614014]"
RET_007,"Khi điểm GPLX được phục hồi, người lái có được thông báo không?",DEC168_ART051_CHUNK001,DEC168_ART051_CHUNK002,True,"[0.561660647392273, 0.5569990873336792, 0.48091205954551697, 0.446367084980011, 0.39927780628204346]"
RET_008,"Nếu GPLX là thông điệp dữ liệu, thông tin phục hồi điểm sẽ hiển thị ở đâu?",DEC168_ART051_CHUNK002,DEC168_ART049,True,"[0.5371267199516296, 0.489219069480896, 0.4663321375846863, 0.3506203293800354, 0.3415335714817047]"
RET_009,"Theo luật, các loại báo hiệu đường bộ bao gồm những gì?",LAW36_ART011_CHUNK001,LAW36_ART011_CHUNK001,True,"[0.49730104207992554, 0.47452089190483093, 0.37227582931518555, 0.3654883801937103, 0.35326501727104187]"
RET_010,"Khi có nhiều loại báo hiệu cùng lúc, người tham gia giao thông phải ưu tiên theo thứ tự nào?",LAW36_ART011_CHUNK001,LAW36_ART021,True,"[0.34305083751678467, 0.2851918935775757, 0.2614783048629761, 0.2501189112663269, 0.22956237196922302]"
RET_011,Đèn tín hiệu giao thông đường bộ gồm những màu nào?,LAW36_ART011_CHUNK001,LAW36_ART011_CHUNK002,True,"[0.576401948928833, 0.48305070400238037, 0.46183881163597107, 0.4572006165981293, 0.45552781224250793]"
RET_012,Gặp tín hiệu đèn vàng thì người điều khiển phương tiện phải làm gì?,LAW36_ART011_CHUNK002,LAW36_ART011_CHUNK002,True,"[0.37042802572250366, 0.313982754945755, 0.30301642417907715, 0.2806439995765686, 0.28000113368034363]"
